seed,method,completed_task_num,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,abnormal_avg_response_time,abnormal_priority_rate,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
15,TSP-2opt,20,183.0,165.30258730315686,332.0,431.99999999999994,196.82,0.0,0.0,136.65365501517743,100.0,0.9032928267932069,0,0,0,0,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,Priority-Greedy,20,322.0,294.5091100333431,583.9,683.9,106.88000000000002,0.0,0.0,211.10779377797618,100.0,0.9146245653209414,0,0,0,0,P20->P4->P13->P6->P19->P14->P16->P7->P10->P8->P17->P3->P15->P1->P11->P18->P12->P2->P5->P9
16,AStarOnly,20,162.0,147.49824144863553,292.8,392.8,117.3,0.0,0.0,110.32638096884709,100.0,0.9104829719051576,0,0,0,0,P6->P13->P10->P11->P4->P19->P2->P1->P12->P5->P14->P3->P20->P9->P7->P18->P16->P15->P17->P8
16,Proposed-Balanced,20,208.0,185.85761334551867,371.70000000000005,471.70000000000005,172.49999999999997,0.0,0.0,142.44740148772837,100.0,0.8935462180073013,0,0,0,0,P6->P16->P15->P18->P7->P12->P19->P4->P11->P14->P20->P9->P3->P5->P1->P2->P10->P13->P17->P8
16,RH-v2-Light,20,223.0,203.76721545713067,409.3,509.30000000000007,81.8,0.0,0.0,160.28591690438654,100.0,0.9137543294041734,0,0,0,0,P13->P4->P11->P19->P12->P5->P20->P9->P3->P14->P18->P7->P16->P15->P17->P8->P1->P2->P10->P6
16,TSP-2opt,20,179.0,159.7057278161963,319.8999999999999,419.8999999999999,117.3,0.0,0.0,123.28451314780084,100.0,0.8922107699228843,0,0,0,0,P6->P13->P10->P11->P4->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P9->P20->P3
16,Priority-Greedy,20,279.0,253.28590637891384,494.3,594.3000000000001,73.5,0.0,0.0,166.9977858994176,100.0,0.90783478988858,0,0,0,0,P4->P19->P11->P20->P9->P12->P18->P15->P16->P17->P7->P8->P1->P3->P5->P14->P10->P13->P6->P2
17,AStarOnly,20,167.0,151.49254347691033,301.1,401.1,253.2,0.0,0.0,117.08108544710733,100.0,0.9071409789036546,0,0,0,0,P9->P10->P5->P8->P4->P6->P3->P14->P19->P1->P15->P17->P13->P7->P18->P12->P2->P16->P20->P11
17,Proposed-Balanced,20,173.0,155.26962445210143,312.69999999999993,412.70000000000005,412.70000000000005,0.0,0.0,130.63422456491642,100.0,0.8975122800699504,0,0,0,0,P5->P11->P8->P4->P10->P9->P20->P2->P12->P16->P14->P1->P17->P19->P3->P6->P13->P7->P15->P18
17,RH-v2-Light,20,215.0,194.9158939002152,388.7,488.69999999999993,204.0,0.0,0.0,148.64203233068508,100.0,0.9065855530242567,0,0,0,0,P5->P11->P8->P4->P10->P2->P12->P18->P17->P1->P14->P3->P6->P13->P7->P20->P16->P9->P19->P15
